Code,Board,Net Val(K),Net Vol,F.Buy Vol,F.Buy Val(K),F.Sell Vol,F.Sell Val(K),Last,AVG,Change,Volume,Value(K)
CMRY,RG,274018,-554,714,352070,1268,626088,4980,4939,0.61%,3749,1851772
CNKO,RG,318885,-29156,0,0,29156,318885,108,108,8.00%,1340814,14511307
CNMA,RG,9718,-659,35132,462887,35791,472606,132,132,-0.75%,269644,3560016
CNTX,RG,0,0,0,0,0,0,142,0,0.00%,0,0
COAL,RG,46524,7754,7754,46524,0,0,59,60,7.27%,538013,3221622
COCO,RG,522776,8655,9171,554595,516,31819,615,610,-8.21%,105905,6456690
COIN,RG,274395,1628,17663,4379249,16035,4104854,2640,2536,1.93%,298094,75582864
COWL,RG,0,0,0,0,0,0,50,0,0.00%,0,0
CPIN,RG,1265552,-2906,21587,9731154,24493,10996706,4520,4504,2.03%,84899,38234970
CPRI,RG,0,0,0,0,0,0,50,0,0.00%,0,0
CPRO,RG,4488069,-752431,792654,4688083,1545085,9176153,58,59,-1.69%,3895447,23065998
CRAB,RG,14399,-605,26,619,631,15018,238,238,-0.83%,8751,208494
CRSN,RG,0,0,0,0,0,0,113,112,-1.74%,11919,134085
CSAP,RG,1320,-45,0,0,45,1320,292,293,0.00%,1558,45649
CSIS,RG,0,0,0,0,0,0,119,117,0.00%,25616,300599
CSMI,RG,0,0,0,0,0,0,398,402,-3.40%,4999,201049
CSRA,RG,243583,2844,5513,478473,2669,234890,860,874,2.99%,21415,1871633
CTBN,RG,0,0,0,0,0,0,5125,0,0.00%,0,0
CTRA,RG,8157236,82322,176013,17448308,93691,9291072,990,991,0.00%,328934,32591329
CTTH,RG,0,0,0,0,0,0,42,42,0.00%,223,937
CUAN,RG,11360044,73559,212325,32293360,138766,20933316,1530,1514,0.66%,569095,86143791
CYBR,RG,570064,5697,106389,10189461,100692,9619397,965,956,1.58%,179607,17172527
DAAZ,RG,19025,-60,0,0,60,19025,3140,3149,-0.32%,857,269886
DADA,RG,8400,-2000,0,0,2000,8400,42,42,7.69%,92942,390356
DART,RG,0,0,0,0,0,0,164,165,0.61%,457,7533
DATA,RG,0,0,0,0,0,0,4560,0,0.00%,0,0
DAYA,RG,1623,-16,0,0,16,1623,1020,1013,0.49%,100,10125
DCII,RG,0,0,0,0,0,0,325025,328548,-0.82%,23,755660
DEAL,RG,0,0,0,0,0,0,6,0,0.00%,0,0
DEFI,RG,424,-10,0,0,10,424,398,406,3.11%,805,32692
DEPO,RG,4111,205,229,4595,24,485,200,200,1.01%,10960,218922
DEWA,RG,1655269,-76794,474710,10819387,551504,12474656,222,227,-1.77%,2424745,55034829
DEWI,RG,377730,-34563,23305,254212,57868,631942,110,109,0.00%,451737,4939898
DFAM,RG,4239,527,732,6023,205,1784,81,85,-5.81%,144859,1232723
DGIK,RG,54907,5714,6021,57852,307,2944,95,96,-4.04%,64736,622641
DGNS,RG,44,-3,8,118,11,162,148,147,1.37%,3356,49270
DGWG,RG,23204,-615,12729,536038,13344,559242,418,421,-1.42%,89331,3757184
DIGI,RG,0,0,0,0,0,0,31,31,-8.82%,31097,97398
DILD,RG,184602,-13362,3566,48886,16928,233488,138,138,0.00%,72716,1001904
DIVA,RG,89658,-6886,909,12181,7795,101838,126,130,-5.26%,95246,1241340
DKFT,RG,20812349,-280160,37691,2740673,317851,23553021,710,736,-8.97%,870912,64090727
DKHH,RG,74195,-6636,80,872,6716,75067,109,110,-2.68%,152470,1678755
DLTA,RG,0,0,0,0,0,0,1965,1959,-0.51%,1989,389634
DMAS,RG,1326236,-96318,27924,385021,124242,1711257,137,138,-0.72%,369333,5099495
DMMX,RG,209636,-5198,11594,412877,16792,622513,360,365,7.78%,106155,3876360
DMND,RG,1026,-18,0,0,18,1026,570,569,-0.87%,419,23857
DNAR,RG,4695,-388,0,0,388,4695,120,121,-1.64%,28673,347264
DNET,RG,923,-1,0,0,1,923,9300,9280,1.09%,105,97435
DOID,RG,233871,-5239,61058,2211160,66297,2445031,360,365,-2.70%,418483,15279247
DOOH,RG,1617489,-108163,214637,3109288,322800,4726776,143,148,0.70%,2551176,37686899
DOSS,RG,18948,-1309,0,0,1309,18948,140,143,-1.41%,15168,217155
DPNS,RG,0,0,0,0,0,0,260,262,0.00%,582,15230
DPUM,RG,1962,-293,167,1136,460,3098,68,73,3.03%,988096,7191683
DRMA,RG,182492,1842,3756,376251,1914,193759,985,1002,-2.48%,12760,1278735
DSFI,RG,11878,-1291,4160,35679,5451,47556,84,86,2.44%,377191,3243151
DSNG,RG,1894282,11736,131569,21456638,119833,19562356,1625,1635,-3.27%,432662,70743198
DSSA,RG,60962840,-5880,24986,269585265,30866,330548105,106200,107324,-3.28%,37859,406317293
DUCK,RG,0,0,0,0,0,0,176,0,0.00%,0,0
DUTI,RG,0,0,0,0,0,0,4250,4581,-5.56%,595,272568
DVLA,RG,1589,10,10,1589,0,0,1600,1572,0.31%,1041,163632
DWGL,RG,46,-2,0,0,2,46,230,226,0.00%,897,20311
DYAN,RG,5441,-585,0,0,585,5441,90,92,1.12%,35421,324724
EAST,RG,301461,-31959,0,0,31959,301461,95,95,-1.04%,70092,665119
ECII,RG,0,0,0,0,0,0,186,185,-2.11%,4814,89279
EDGE,RG,2976,-7,5,2126,12,5102,4250,4235,-0.23%,154,65212
EKAD,RG,0,0,0,0,0,0,187,187,-0.53%,1246,23254
ELIT,RG,102637,5468,7880,148611,2412,45974,188,189,-1.57%,119523,2259672
ELPI,RG,3063,-81,53,1995,134,5058,378,375,-1.56%,15580,583573
ELSA,RG,779190,15607,29646,1479069,14039,699879,498,499,-0.40%,109054,5442551
ELTY,RG,0,0,0,0,0,0,17,17,-5.56%,1051060,1786802
EMDE,RG,0,0,0,0,0,0,97,98,-2.02%,41441,406995
EMTK,RG,19544025,-150265,333775,44032326,484040,63576351,1305,1318,-2.61%,1011636,133358107
ENAK,RG,376750,-5500,0,0,5500,376750,700,688,-0.71%,8407,578100
ENRG,RG,43195302,-720144,236839,14356910,956983,57552212,600,601,-6.25%,2067489,124231480
ENVY,RG,0,0,0,0,0,0,50,0,0.00%,0,0
ENZO,RG,0,0,0,0,0,0,40,39,0.00%,2231,8787
EPAC,RG,0,0,0,0,0,0,36,40,-10.00%,111365,448195
EPMT,RG,916,4,4,916,0,0,2290,2300,-0.87%,1017,233885
ERAA,RG,2495193,56530,191736,8488225,135206,5993033,444,443,0.45%,382505,16949123
ERAL,RG,746804,-23055,10895,353562,33950,1100366,324,323,0.00%,81158,2624014
ERTX,RG,13264,-983,749,9579,1732,22842,125,128,4.17%,131632,1690660
ESIP,RG,0,0,0,0,0,0,50,50,2.04%,6481,32146
ESSA,RG,6462346,107083,192645,11679731,85562,5217386,605,609,2.54%,1066296,64953533
ESTA,RG,0,0,0,0,0,0,69,69,-2.82%,65484,451018
ESTI,RG,0,0,0,0,0,0,54,53,0.00%,6021,31856
ETWA,RG,0,0,0,0,0,0,70,0,0.00%,0,0
EXCL,RG,7676266,-28273,19377,5288874,47650,12965140,2740,2725,-0.36%,92860,25300263
FAPA,RG,77308,-130,0,0,130,77308,5925,5946,-0.42%,135,80270
FAST,RG,176300,-5279,69,2250,5348,178550,336,333,1.82%,19195,638753
FASW,RG,0,0,0,0,0,0,5275,0,0.00%,0,0
FILM,RG,5396541,14327,115632,41017750,101305,35621209,3800,3587,14.80%,346992,124455748
FIRE,RG,237,-31,142,1122,173,1359,79,81,1.28%,214486,1737419
FISH,RG,0,0,0,0,0,0,10350,0,0.00%,0,0
FITT,RG,2144,556,8355,332411,7799,330267,368,411,-2.13%,82525,3388632
FMII,RG,294,-8,0,0,8,294,356,362,-1.11%,383,13848
FOLK,RG,0,0,0,0,0,0,76,77,-3.80%,24698,190706
FOOD,RG,0,0,0,0,0,0,118,118,0.00%,655,7729
FORE,RG,255941,4969,14845,772230,9876,516290,520,519,-0.95%,97086,5035891
FORU,RG,14181,-119,0,0,119,14181,1170,1200,0.00%,3192,382919
FPNI,RG,0,0,0,0,0,0,192,193,0.00%,6702,129134
FUJI,RG,17942,-344,1312,64268,1656,82210,402,404,-10.67%,1163486,47039989
FUTR,RG,2993887,-101862,183297,4883128,285159,7877015,260,271,-2.26%,3613717,97906828
FWCT,RG,46489,-2891,0,0,2891,46489,160,160,0.00%,11951,191607
GAMA,RG,0,0,0,0,0,0,18,0,0.00%,0,0
GDST,RG,0,0,0,0,0,0,109,108,0.00%,2433,26363
GDYR,RG,0,0,0,0,0,0,1185,1186,-0.42%,23,2728
GEMA,RG,232795,-18793,3259,39883,22052,272678,121,124,3.42%,297066,3674850
GEMS,RG,341720,-372,72,66348,444,408068,9200,9187,0.00%,1825,1676623
GGRM,RG,6758858,7722,8654,7574800,932,815943,8800,8752,2.62%,10471,9164050
GGRP,RG,0,0,0,0,0,0,236,237,5.36%,19783,469598
GHON,RG,1678,10,15,2543,5,865,1685,1707,0.00%,95,16215
GIAA,RG,1035,150,150,1035,0,0,69,67,4.55%,204521,1379497
GJTL,RG,689077,-6667,1450,149367,8117,838444,1030,1029,0.00%,39184,4030106
GLOB,RG,4115,-722,0,0,722,4115,57,57,0.00%,1426,8128
GLVA,RG,0,0,0,0,0,0,326,327,-0.61%,216,7059
GMFI,RG,0,0,0,0,0,0,62,62,-1.59%,5257,32641
GMTD,RG,0,0,0,0,0,0,2260,2260,0.00%,2,452
GOLD,RG,0,0,0,0,0,0,258,259,0.00%,113,2925
GOLF,RG,132362,-6166,57,1235,6223,133597,210,213,-5.41%,72610,1543244
GOLL,RG,0,0,0,0,0,0,50,0,0.00%,0,0
GOOD,RG,2976,-80,0,0,80,2976,372,372,0.54%,2447,91150
GOTO,RG,21016102,3556035,11085303,64936413,7529268,43920311,59,58,1.72%,16210199,94746418
GPRA,RG,445334,-32140,151256,2017891,183396,2463224,129,135,-2.27%,1398060,18896013
GPSO,RG,713501,-25516,957,27203,26473,740704,270,281,-3.57%,78951,2216786
GRIA,RG,774339,-53882,25064,326623,78946,1100962,125,137,4.17%,1076778,14761026
GRPH,RG,54825,-7172,759,5450,7931,60276,72,74,-8.86%,500247,3684300
GSMF,RG,311,-6,1558,17866,1564,18177,113,115,-3.42%,107579,1233006
GTBO,RG,730,-37,0,0,37,730,197,196,0.51%,1517,29782
GTRA,RG,0,0,0,0,0,0,139,139,-1.42%,8521,118315
GTSI,RG,111745,-12004,466,4316,12470,116061,92,93,-2.13%,663591,6187067
GULA,RG,46523,-1383,76,2506,1459,49029,326,334,-2.98%,13247,441816
GUNA,RG,0,0,0,0,0,0,242,242,1.68%,2015,48801
GWSA,RG,2170,140,140,2170,0,0,155,154,0.65%,4299,66117
GZCO,RG,1579007,-69447,79538,1764277,148985,3343284,218,222,0.93%,1627183,36091557
HADE,RG,0,0,0,0,0,0,33,33,10.00%,30195,99644
HAIS,RG,82214,-4282,10,193,4292,82407,192,192,-1.03%,37726,724357
HALO,RG,15749,1833,1978,17011,145,1262,85,86,-3.41%,46836,400620
HATM,RG,807233,-31918,18042,459238,49960,1266471,250,254,-3.10%,237539,6045167
HDFA,RG,0,0,0,0,0,0,125,125,0.00%,1031,12904
HDIT,RG,0,0,0,0,0,0,60,59,-1.64%,137712,810212
HEAL,RG,6460752,-39528,2605,425157,42133,6885909,1635,1634,1.87%,83303,13607586
HELI,RG,0,0,0,0,0,0,250,251,-1.57%,5317,133544
HERO,RG,40,-1,0,0,1,40,396,393,1.02%,52,2044
HEXA,RG,546933,-989,68,37433,1057,584365,5525,5529,-0.45%,3083,1704580
HGII,RG,100697,-6860,344,4933,7204,105630,147,146,-0.68%,84239,1230072
HILL,RG,48070,-2325,686,14115,3011,62185,208,208,0.00%,1139645,23700128
HITS,RG,0,0,0,0,0,0,116,0,0.00%,0,0
HKMU,RG,0,0,0,0,0,0,50,0,0.00%,0,0
HMSP,RG,327375,-6207,7389,397396,13596,724771,535,534,0.00%,57344,3059477
HOKI,RG,15841,-1975,2690,21479,4665,37320,79,80,-1.25%,307740,2456607
HOME,RG,0,0,0,0,0,0,50,0,0.00%,0,0
HOMI,RG,29228,-1337,0,0,1337,29228,212,217,0.95%,11839,257282
HOPE,RG,0,0,0,0,0,0,162,162,9.46%,41954,679655
HOTL,RG,0,0,0,0,0,0,50,0,0.00%,0,0
HRME,RG,0,0,0,0,0,0,39,39,8.33%,7454,29071
HRTA,RG,25849030,-299151,173538,14878938,472689,40727968,835,857,-8.24%,1464262,125516860
HRUM,RG,1986834,-18152,121588,12775163,139740,14761997,1035,1053,-3.72%,913522,96170967
HUMI,RG,1298245,80655,208659,3386131,128004,2087886,161,163,-3.01%,1908316,31195519
HYGN,RG,0,0,0,0,0,0,160,156,1.91%,11693,182710
IATA,RG,0,0,0,0,0,0,59,60,-1.67%,134712,806869
IBFN,RG,0,0,0,0,0,0,30,30,0.00%,13591,40773
IBST,RG,0,0,0,0,0,0,5975,5975,-9.81%,30,17925
ICBP,RG,6730503,7271,16798,15546788,9527,8816285,9250,9256,-0.54%,27402,25362198
ICON,RG,0,0,0,0,0,0,50,51,-3.85%,16623,83979
IDPR,RG,536,22,22,536,0,0,240,242,-2.44%,3820,92540
IFII,RG,30845,-1224,0,0,1224,30845,252,251,3.28%,22973,576587
IFSH,RG,4335,-54,15,1257,69,5591,780,796,-0.64%,884,70358
IGAR,RG,0,0,0,0,0,0,525,516,0.00%,283,14610
IIKP,RG,0,0,0,0,0,0,50,0,0.00%,0,0
IKAI,RG,0,0,0,0,0,0,22,22,10.00%,100380,220836
IKAN,RG,19377,-674,45627,682365,46301,701742,142,152,4.41%,3531408,53683851
IKBI,RG,7198,139,304,15808,165,8611,498,513,-9.45%,10809,554323
IKPM,RG,13098,590,590,13098,0,0,224,225,-0.88%,8853,199054
IMAS,RG,3556,29,265,30505,236,26949,1130,1145,-3.42%,7371,843892
IMJS,RG,219874,-9046,18576,449899,27622,669773,238,242,-4.80%,88725,2146812
IMPC,RG,32796913,-229652,60980,8511207,290632,41308120,1430,1416,-0.69%,836347,118447236
INAF,RG,0,0,0,0,0,0,126,0,0.00%,0,0
INAI,RG,0,0,0,0,0,0,157,156,0.00%,755,11793
INCF,RG,0,0,0,0,0,0,42,42,5.00%,31413,131577
INCI,RG,0,0,0,0,0,0,610,603,0.00%,1373,82809
INCO,RG,9240753,-23613,34082,13280776,57695,22521529,3910,3900,-0.76%,120345,46937674
INDF,RG,13865958,-18254,15091,11461005,33345,25326963,7525,7592,-2.27%,42369,32164613
INDO,RG,15537,781,3805,80855,3024,65318,218,215,-1.80%,67065,1438848
INDR,RG,23312,-87,50,12800,137,36112,2550,2606,-2.30%,745,194116
INDS,RG,3530,-159,0,0,159,3530,222,223,-1.77%,1408,31452
INDX,RG,89877,-10299,0,0,10299,89877,86,87,-4.44%,49715,434268
INDY,RG,25945191,-153493,246221,40032181,399714,65977372,1570,1650,-5.42%,1708771,281964210
INET,RG,102608,6531,202576,4515204,196045,4412596,220,224,-2.65%,1774348,39668950
INKP,RG,2690878,-3374,5413,4292515,8787,6983393,7900,7923,-1.25%,29383,23279638
INOV,RG,10,-1,0,0,1,10,99,99,-1.00%,6067,60052
INPC,RG,9649,-537,33115,560363,33652,570013,169,169,-2.31%,186050,3142568
INPP,RG,0,0,0,0,0,0,800,797,2.56%,448,35702
INPS,RG,0,0,0,0,0,0,112,112,0.90%,1104,12349
INRU,RG,61944,-687,0,0,687,61944,835,877,-5.11%,14826,1300486
INTA,RG,97550,-44341,0,0,44341,97550,23,22,9.52%,148430,329875
INTD,RG,0,0,0,0,0,0,194,196,0.52%,2396,46923
INTP,RG,2271320,-3271,2471,1712575,5742,3983895,6900,6938,-1.43%,10809,7498845
IOTF,RG,431676,-34039,256309,2765492,290348,3197168,102,109,0.00%,3681420,40303406
IPCC,RG,1057586,9556,9944,1100643,388,43057,1110,1106,1.37%,23458,2594571
IPCM,RG,55918,-1915,0,0,1915,55918,294,292,0.68%,20634,602601
IPOL,RG,0,0,0,0,0,0,139,140,0.72%,251,3520
IPPE,RG,0,0,0,0,0,0,14,0,0.00%,0,0
IPTV,RG,148050,35250,35250,148050,0,0,42,42,-4.55%,112485,475120
IRRA,RG,600,-14,0,0,14,600,426,428,0.00%,5400,231018
IRSX,RG,0,0,0,0,0,0,116,0,0.00%,0,0
ISAT,RG,1139845,5797,39593,7769009,33796,6629165,1965,1962,0.77%,73765,14472535
ISEA,RG,173119,-16396,1040,11247,17436,184366,92,105,6.98%,3111167,32524743
ISSP,RG,12510,-295,2226,91859,2521,104369,414,414,-1.43%,20482,846983
ITIC,RG,49828,-2284,3653,79567,5937,129395,224,219,0.90%,7434,162585
ITMA,RG,681114,6282,12518,1367239,6236,686125,1090,1097,1.40%,21147,2320132
ITMG,RG,3053633,-1370,1724,3849333,3094,6902965,22350,22317,0.34%,10168,22691528
JARR,RG,0,0,0,0,0,0,1665,0,0.00%,0,0
JAST,RG,12710,1270,3490,35613,2220,22903,103,103,-0.96%,46801,480477
JATI,RG,29613,2114,2432,34047,318,4434,139,139,0.72%,28815,401168
JAWA,RG,298,-20,0,0,20,298,148,147,-3.27%,22416,330210
JAYA,RG,0,0,0,0,0,0,96,95,1.05%,4267,40443
JECC,RG,135,-1,10,1145,11,1280,1150,1161,-0.43%,1881,218328
JGLE,RG,160,100,100,160,0,0,16,16,-5.88%,800025,1280040
JIHD,RG,11212,-142,401,28095,543,39307,690,704,-3.50%,12776,898825
JKON,RG,200967,-20636,10816,104731,31452,305698,93,96,-7.00%,329802,3173261
JMAS,RG,0,0,0,0,0,0,148,149,-2.63%,1841,27452
JPFA,RG,30927865,-173028,214249,38021942,387277,68949807,1760,1782,4.76%,1098034,195658199
JRPT,RG,1875,-23,6,489,29,2364,805,808,0.00%,2533,204761
JSKY,RG,0,0,0,0,0,0,52,0,0.00%,0,0
JSMR,RG,5576408,16237,19201,6593569,2964,1017161,3430,3432,0.59%,31392,10773519
JSPT,RG,0,0,0,0,0,0,3990,4007,-0.50%,79,31659
JTPE,RG,3759,115,166,5412,51,1652,326,325,0.00%,49129,1597203
KAEF,RG,2222,-44,0,0,44,2222,505,503,-0.98%,4447,223864
KAQI,RG,192306,26274,35297,257545,9023,65239,72,72,1.41%,325767,2356680
KARW,RG,0,0,0,0,0,0,640,648,0.00%,2163,140131
KAYU,RG,0,0,0,0,0,0,18,0,0.00%,0,0
KBAG,RG,0,0,0,0,0,0,42,41,-2.33%,60709,249513
KBLI,RG,0,0,0,0,0,0,378,376,0.00%,471,17709
KBLM,RG,39,-1,0,0,1,39,388,389,-1.02%,2642,102864
KBLV,RG,31320,1637,45146,1041230,43509,1009910,220,228,-9.09%,879756,20100135
KBRI,RG,0,0,0,0,0,0,50,0,0.00%,0,0
KDSI,RG,0,0,0,0,0,0,474,465,0.85%,77,3584
KDTN,RG,0,0,0,0,0,0,118,118,-0.84%,683,8073
KEEN,RG,213107,2553,4495,376118,1942,163011,835,835,-0.60%,27971,2335391
KEJU,RG,104379,-1714,184,11148,1898,115527,600,604,-2.44%,9663,583407
KETR,RG,25546,-64,24503,1595973,24567,1621518,660,646,15.79%,462131,29839979
KIAS,RG,0,0,0,0,0,0,21,0,0.00%,0,0
KICI,RG,979,68,68,979,0,0,140,145,0.72%,14154,205171
KIJA,RG,4268834,-213446,163084,3253815,376530,7522649,202,200,-1.94%,2689132,53789644
KINO,RG,1014,-8,5,632,13,1646,1260,1250,2.44%,1308,163548
KIOS,RG,5244,-653,19934,177535,20587,182780,84,88,2.44%,2028146,17879826
KJEN,RG,0,0,0,0,0,0,131,129,0.77%,8519,110068
KKES,RG,0,0,0,0,0,0,39,39,-2.50%,22868,89213
KKGI,RG,166866,-5034,2096,69458,7130,236324,332,331,-0.60%,31238,1035215
KLAS,RG,16316,-1205,25,335,1230,16651,134,134,-1.47%,23074,309279
KLBF,RG,17934816,-151644,607639,71635444,759283,89570260,1180,1180,0.00%,933463,110166826
KMDS,RG,29098,-457,157,9891,614,38989,635,635,-0.78%,3526,223810
KMTR,RG,47157,1537,1633,50189,96,3032,308,313,-3.14%,12049,377131
KOBX,RG,0,0,0,0,0,0,141,141,-1.40%,3857,54399
KOCI,RG,59706,-8993,2110,13926,11103,73632,65,66,0.00%,410067,2715512
KOIN,RG,0,0,0,0,0,0,72,72,2.86%,33,238
KOKA,RG,147032,-15125,483,4637,15608,151669,96,97,-2.04%,64222,621979
KONI,RG,3511,19,28,5364,9,1853,1925,1934,-7.89%,631,122030
KOPI,RG,0,0,0,0,0,0,340,337,0.59%,615,20738
KOTA,RG,0,0,0,0,0,0,30,30,7.14%,209118,627354
KPAS,RG,0,0,0,0,0,0,0,0,0.00%,0,0
KPIG,RG,4725347,264885,583757,10874679,318872,6149333,200,194,11.73%,3307793,64029762
KRAS,RG,326052,10729,32932,1001744,22203,675693,304,304,-1.30%,147288,4474812
KREN,RG,85000,-50000,0,0,50000,85000,17,17,6.25%,1708994,2905290
KRYA,RG,236687,-11345,6126,126995,17471,363682,206,207,-0.96%,81121,1677151
KSIX,RG,0,0,0,0,0,0,234,233,0.00%,1913,44597
KUAS,RG,3387,-464,0,0,464,3387,73,73,2.82%,131248,958437
LABA,RG,0,0,0,0,0,0,358,0,0.00%,0,0
LABS,RG,0,0,0,0,0,0,142,142,-1.39%,5126,72796
LAJU,RG,762191,-86697,265449,2122385,352146,2884576,69,81,4.55%,14907652,120866485
LAND,RG,3720,930,930,3720,0,0,40,42,-4.76%,103533,435606
LAPD,RG,0,0,0,0,0,0,118,0,0.00%,0,0
LCGP,RG,0,0,0,0,0,0,114,0,0.00%,0,0
LCKM,RG,2503,-116,0,0,116,2503,214,216,-0.93%,147,3168
LEAD,RG,29071,-3727,2210,17238,5937,46309,75,77,-5.06%,189630,1459105
LIFE,RG,0,0,0,0,0,0,17100,0,0.00%,0,0
LINK,RG,3140,10,10,3140,0,0,3140,3212,-9.77%,1039,333776
LION,RG,0,0,0,0,0,0,352,354,-2.76%,317,11208
LIVE,RG,36411,-2193,206,3412,2399,39823,166,166,0.00%,45476,754081
LMAS,RG,0,0,0,0,0,0,50,0,0.00%,0,0
LMPI,RG,0,0,0,0,0,0,141,142,-1.40%,3186,45248
LMSH,RG,0,0,0,0,0,0,256,0,0.00%,0,0
LPCK,RG,33553,-525,44,2763,569,36315,625,634,-3.10%,17095,1083875
LPGI,RG,4606,-101,0,0,101,4606,444,446,0.45%,997,44433
LPIN,RG,4859,-116,0,0,116,4859,418,418,-0.95%,1353,56521
LPKR,RG,719202,71096,213476,2154958,142380,1435756,101,101,-0.98%,774940,7804700
LPLI,RG,1396,59,322,10179,263,8783,316,317,-1.86%,8547,270936
LPPF,RG,318706,1976,6304,1013807,4328,695101,1610,1608,0.31%,9189,1477171
LPPS,RG,64949,-7316,407,3398,7723,68347,85,86,0.00%,153983,1324488
LRNA,RG,0,0,0,0,0,0,174,174,-2.25%,95,1656
LSIP,RG,1148979,-8496,15091,2039438,23587,3188417,1340,1350,-2.19%,47692,6439446
LTLS,RG,0,0,0,0,0,0,850,854,0.00%,601,51315
LUCK,RG,0,0,0,0,0,0,83,84,0.00%,22210,185761
MABA,RG,0,0,0,0,0,0,50,0,0.00%,0,0
MAGP,RG,0,0,0,0,0,0,50,0,0.00%,0,0
MAHA,RG,74590,-5433,744,10128,6177,84718,136,137,-0.73%,22373,305857
MAIN,RG,78703,-1133,5003,344888,6136,423590,680,693,1.49%,55551,3848395
MAPA,RG,3548946,-57769,7126,438170,64895,3987116,620,615,1.64%,161876,9962278
MAPB,RG,0,0,0,0,0,0,1750,1711,1.74%,103,17621
MAPI,RG,589822,-5093,16342,1931042,21435,2520864,1170,1177,-0.85%,69443,8170798
MARI,RG,0,0,0,0,0,0,34,34,3.03%,22925,77945
MARK,RG,557967,-8769,3791,240731,12560,798698,635,640,-0.78%,39304,2515327
MASA,RG,0,0,0,0,0,0,6200,0,0.00%,0,0
MASB,RG,0,0,0,0,0,0,3340,3285,-0.30%,8,2628
MAXI,RG,134481,-22805,7888,46289,30693,180770,58,60,-3.33%,1123075,6729106
MAYA,RG,396160,-17398,272,6202,17670,402362,228,228,0.88%,67500,1538342
MBAP,RG,38820,-238,0,0,238,38820,1620,1627,-0.61%,668,108712
MBMA,RG,17675507,-405215,175691,7721688,580906,25397195,428,437,-2.28%,2492779,108812015
MBSS,RG,33019,-212,1518,242773,1730,275792,1555,1599,-2.51%,32479,5192505
MBTO,RG,5128,-405,131,1664,536,6792,126,127,0.00%,2790,35443
MCAS,RG,84,1,1,84,0,0,835,832,-0.60%,684,56910
MCOL,RG,13566,36,40,15066,4,1500,3780,3715,-0.53%,659,244809
MCOR,RG,116271,-15254,192,1459,15446,117731,76,76,-1.30%,35498,270296
MDIA,RG,44585,-12050,0,0,12050,44585,37,37,8.82%,45335,167740
MDIY,RG,1603832,15101,24598,2623579,9497,1019748,1060,1066,-1.85%,29751,3172226
MDKA,RG,22955669,88272,383243,101739605,294971,78783936,2620,2661,2.75%,1913561,509204840
MDKI,RG,0,0,0,0,0,0,158,158,-0.63%,4792,75686
MDLA,RG,133625,6345,32049,738147,25704,604522,230,232,-4.17%,145339,3365102
MDLN,RG,17677,2485,3723,26467,1238,8790,69,72,-1.43%,1000846,7163161
MDRN,RG,0,0,0,0,0,0,33,32,10.00%,463470,1493480
MEDC,RG,1405626,-11356,152463,18827349,163819,20232975,1250,1240,0.00%,364439,45205766
MEDS,RG,180,-10,486,3535,496,3715,67,81,-10.67%,4677359,38084709
MEGA,RG,1296,4,5,1618,1,322,3220,3216,-0.31%,173,55635
MERI,RG,47959,-1983,5779,141801,7762,189760,244,244,-0.81%,31359,765768
MERK,RG,840,3,3,840,0,0,2800,2810,0.36%,74,20792
META,RG,0,0,0,0,0,0,238,0,0.00%,0,0
MFIN,RG,12843,-106,280,32541,386,45383,1160,1164,-2.93%,5206,605917
MFMI,RG,0,0,0,0,0,0,1300,0,0.00%,0,0
MGNA,RG,0,0,0,0,0,0,42,42,7.69%,15414,64739
MGRO,RG,263092,-3734,2462,174597,6196,437689,715,710,0.00%,45220,3209330
MHKI,RG,17109,1050,11946,179135,10896,162026,145,148,-3.33%,292011,4321568
MICE,RG,0,0,0,0,0,0,498,497,-0.40%,203,10095
MIDI,RG,403464,-9108,13990,621051,23098,1024515,440,443,-2.22%,48536,2150071
MIKA,RG,8312779,-34995,16410,3908934,51405,12221713,2400,2379,0.42%,80288,19099964
MINA,RG,1035422,-57396,17786,321284,75182,1356705,177,180,-3.80%,2260227,40608843
MINE,RG,604867,-10586,7444,426954,18030,1031820,570,572,-3.39%,60796,3480237
MIRA,RG,195098,-28275,0,0,28275,195098,67,68,-9.46%,282900,1930515
MITI,RG,79511,-2927,4722,128411,7649,207922,264,273,1.54%,85094,2319782
MKAP,RG,0,0,0,0,0,0,360,363,-0.55%,1982,71973
MKNT,RG,0,0,0,0,0,0,1,0,0.00%,0,0
MKPI,RG,183740,74,74,183740,0,0,24750,24735,-1.00%,83,205300
MKTR,RG,39160,-2795,6228,80597,9023,119756,136,133,0.00%,224666,2982635
MLBI,RG,262140,-446,9,5265,455,267405,5875,5874,-0.42%,1168,686025
MLIA,RG,86753,2430,3689,132245,1259,45492,360,359,0.00%,37216,1336720
MLPL,RG,35184,2550,86636,1196728,84086,1161544,136,138,-2.86%,715611,9848143
MLPT,RG,0,0,0,0,0,0,77925,77987,0.10%,361,2815330
MMIX,RG,107163,3822,11406,322605,7584,215442,300,287,7.14%,56678,1624816
MMLP,RG,134248,2463,2531,137940,68,3692,540,541,-0.92%,31722,1716482
MNCN,RG,3368620,128620,140555,3681312,11935,312692,266,261,1.53%,399133,10436323
MOLI,RG,15272,-719,1001,20441,1720,35713,208,207,1.96%,23761,492575
MORA,RG,1665,-37,0,0,37,1665,440,440,0.00%,777,34161
