Code,Board,Net Val(K),Net Vol,F.Buy Vol,F.Buy Val(K),F.Sell Vol,F.Sell Val(K),Last,AVG,Change,Volume,Value(K)
VERN,RG,117242,-8462,1329,17924,9791,135166,132,136,-7.04%,146106,1988738
VICI,RG,861,-14,0,0,14,861,615,615,0.00%,6228,383192
VICO,RG,6408,-314,432,7949,746,14357,184,187,0.55%,20257,378297
VINS,RG,1271,-75,456,5746,531,7016,126,129,0.00%,3157,40752
VISI,RG,23772,-1660,225,3235,1885,27007,142,144,0.00%,87227,1258402
VIVA,RG,786893,-231439,0,0,231439,786893,34,34,9.68%,364516,1239354
VKTR,RG,850294,-72408,13773,157183,86181,1007477,111,116,-10.48%,484529,5619460
VOKS,RG,4229,-160,29,760,189,4988,254,260,-5.22%,3957,102951
VRNA,RG,837,-74,809,7443,883,8280,91,92,0.00%,14361,132483
VTNY,RG,32426,-2985,5842,61003,8827,93429,104,104,-1.89%,157662,1644087
WAPO,RG,231534,-9662,39027,855010,48689,1086544,206,219,0.00%,1142196,24969397
WEGE,RG,290655,-26545,146246,1205185,172791,1495840,79,88,-7.06%,8465273,74433670
WEHA,RG,83,-7,0,0,7,83,117,117,0.00%,11648,136430
WICO,RG,0,0,0,0,0,0,123,0,0.00%,0,0
WIFI,RG,22613547,87496,165639,42931915,78143,20318368,2580,2594,0.78%,768937,199449450
WIIM,RG,61576,777,817,64748,40,3172,795,792,0.63%,6913,547359
WIKA,RG,0,0,0,0,0,0,204,0,0.00%,0,0
WINE,RG,0,0,0,0,0,0,214,215,0.00%,4332,93009
WINR,RG,0,0,0,0,0,0,30,29,0.00%,262317,770008
WINS,RG,9044,-216,1825,74021,2041,83065,402,406,-1.95%,21041,853637
WIRG,RG,3987437,-211701,680263,12130084,891964,16117522,177,181,-0.56%,7973733,143964181
WMPP,RG,0,0,0,0,0,0,12,0,0.00%,0,0
WMUU,RG,0,0,0,0,0,0,17,17,0.00%,1206894,2107254
WOMF,RG,0,0,0,0,0,0,342,339,0.59%,444,15070
WOOD,RG,567849,-15493,385,14181,15878,582030,370,368,-0.54%,49864,1835621
WOWS,RG,10189,-815,0,0,815,10189,123,128,-14.58%,2582931,33111555
WSBP,RG,165000,50000,50005,165017,5,17,33,33,10.00%,3803841,12552675
WSKT,RG,0,0,0,0,0,0,202,0,0.00%,0,0
WTON,RG,16506,-658,54015,578855,54673,595361,105,108,-6.25%,710963,7664928
YELO,RG,0,0,0,0,0,0,61,62,-4.69%,50254,312289
YOII,RG,0,0,0,0,0,0,96,95,0.00%,27718,263795
YPAS,RG,0,0,0,0,0,0,354,0,0.00%,0,0
YULE,RG,0,0,0,0,0,0,2700,2700,0.00%,5,1350
YUPI,RG,3738,-23,0,0,23,3738,1615,1614,-0.62%,233,37604
ZATA,RG,0,0,0,0,0,0,26,26,8.33%,108372,281767
ZBRA,RG,0,0,0,0,0,0,50,0,0.00%,0,0
ZINC,RG,1540,-700,0,0,700,1540,22,22,10.00%,305930,673046
ZONE,RG,0,0,0,0,0,0,740,741,0.00%,1275,94453
ZYRX,RG,13614,-864,937,14838,1801,28452,155,159,0.65%,32241,511382

