,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
MLPL,,100,7340,,0,0,,35,13322,183,137,,25,5982,82,138,,0,0,0,0,,0,0,0,0,
BEKS,,16,7090,,0,0,,15,48820,124,25,,52,41730,108,26,,0,0,0,0,,0,0,0,0,
ACRO,,65,6899,,0,0,,83,14210,128,90,,32,7311,63,86,,0,0,0,0,,0,0,0,0,
NPGF,,21,6888,,0,0,,193,85813,584,68,,204,78925,562,71,,0,0,0,0,,0,0,0,0,
MGNA,,28,6759,,0,0,,10,6759,28,42,,0,0,0,0,,0,0,0,0,,0,0,0,0,
INDO,,146,6750,,0,0,,46,6750,146,216,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PTPP,,266,6620,,0,0,,87,10680,432,404,,40,4060,166,409,,0,0,0,0,,0,0,0,0,
MKTR,,87,6471,,0,0,,40,7861,105,134,,26,1390,19,134,,0,0,0,0,,0,0,0,0,
PSDN,,62,6199,,0,0,,87,8254,83,101,,29,2055,21,100,,0,0,0,0,,0,0,0,0,
SMGA,,48,6070,,0,0,,114,46909,475,101,,75,40839,427,105,,0,0,0,0,,0,0,0,0,
LEAD,,46,5899,,0,0,,8,6400,49,77,,6,501,4,79,,0,0,0,0,,0,0,0,0,
COCO,,351,5702,,0,0,,76,7217,445,616,,30,1515,93,615,,0,0,0,0,,0,0,0,0,
HOKI,,44,5600,,0,0,,15,9758,78,80,,4,4158,33,80,,0,0,0,0,,0,0,0,0,
KLBF,,672,5600,,0,0,,66,7478,894,1196,,24,1878,222,1183,,0,0,0,0,,0,0,0,0,
HADE,,18,5545,,0,0,,29,5545,18,33,,0,0,0,0,,0,0,0,0,,0,0,0,0,
VISI,,78,5500,,0,0,,7,5500,78,143,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TEBE,,920,5473,,0,0,,76,6405,1078,1683,,29,932,158,1699,,0,0,0,0,,0,0,0,0,
UVCR,,42,5450,,0,0,,12,9050,71,78,,18,3600,28,79,,0,0,0,0,,0,0,0,0,
TOOL,,36,5400,,0,0,,38,6200,42,67,,5,800,6,69,,0,0,0,0,,0,0,0,0,
BGTG,,56,5065,,0,0,,8,6000,66,110,,10,935,10,111,,0,0,0,0,,0,0,0,0,
ARCI,,421,4859,,0,0,,173,17108,1483,867,,185,12249,1062,867,,0,0,0,0,,0,0,0,0,
WIDI,,25,4530,,0,0,,19,4530,25,55,,0,0,0,0,,0,0,0,0,,0,0,0,0,
HDIT,,27,4500,,0,0,,2,4500,27,60,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MUTU,,42,4244,,0,0,,20,5344,53,100,,1,1100,11,100,,0,0,0,0,,0,0,0,0,
ACST,,60,4032,,0,0,,32,5421,82,150,,6,1389,21,152,,0,0,0,0,,0,0,0,0,
KRAS,,122,4014,,0,0,,61,4264,129,303,,3,250,8,303,,0,0,0,0,,0,0,0,0,
REAL,,20,4000,,0,0,,9,4000,20,50,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SDMU,,22,4000,,0,0,,7,4000,22,55,,0,0,0,0,,0,0,0,0,,0,0,0,0,
UNVR,,634,3725,,0,0,,49,10197,1754,1720,,57,6472,1120,1731,,0,0,0,0,,0,0,0,0,
TINS,,384,3719,,0,0,,38,4140,428,1033,,4,421,44,1042,,0,0,0,0,,0,0,0,0,
IOTF,,40,3697,,0,0,,178,49507,550,111,,172,45810,510,111,,0,0,0,0,,0,0,0,0,
RICY,,23,3669,,0,0,,12,3669,23,63,,0,0,0,0,,0,0,0,0,,0,0,0,0,
RGAS,,42,3640,,0,0,,31,3790,44,116,,4,150,2,116,,0,0,0,0,,0,0,0,0,
AHAP,,27,3555,,0,0,,23,4247,33,77,,87,692,5,78,,0,0,0,0,,0,0,0,0,
PEGE,,40,3515,,0,0,,11,3815,44,114,,8,300,3,116,,0,0,0,0,,0,0,0,0,
IDEA,,29,3510,,0,0,,9,5109,43,84,,25,1599,14,85,,0,0,0,0,,0,0,0,0,
BBYB,,114,3500,,0,0,,19,4000,130,325,,9,500,16,320,,0,0,0,0,,0,0,0,0,
FIRE,,29,3500,,0,0,,52,5776,47,82,,23,2276,18,81,,0,0,0,0,,0,0,0,0,
TKIM,,2683,3497,,0,0,,114,3497,2683,7671,,0,0,0,0,,0,0,0,0,,0,0,0,0,
RUIS,,75,3250,,0,0,,35,3250,75,232,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MAIN,,211,3010,,0,0,,11,3010,211,700,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ISEA,,4,2931,,0,0,,134,39226,376,96,,185,36295,371,102,,0,0,0,0,,0,0,0,0,
BAUT,,11,2831,,0,0,,7,3131,12,38,,1,300,1,38,,0,0,0,0,,0,0,0,0,
SRSN,,17,2795,,0,0,,123,74184,540,73,,153,71389,522,73,,0,0,0,0,,0,0,0,0,
KOKA,,27,2782,,0,0,,16,2782,27,97,,0,0,0,0,,0,0,0,0,,0,0,0,0,
DSNG,,433,2671,,0,0,,65,7537,1234,1637,,32,4866,800,1645,,0,0,0,0,,0,0,0,0,
DPUM,,19,2470,,0,0,,85,15846,117,74,,50,13376,98,73,,0,0,0,0,,0,0,0,0,
TMAS,,32,2311,,0,0,,35,2382,33,138,,3,71,1,137,,0,0,0,0,,0,0,0,0,
JIHD,,165,2296,,0,0,,33,2296,165,717,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SNLK,,105,2225,,0,0,,10,2335,110,470,,4,110,5,475,,0,0,0,0,,0,0,0,0,
YELO,,14,2200,,0,0,,3,2200,14,62,,0,0,0,0,,0,0,0,0,,0,0,0,0,
RMKE,,193,2058,,0,0,,34,2060,193,937,,1,2,0,940,,0,0,0,0,,0,0,0,0,
