Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
HYGN,159,-1.2422360248447204%,161,161,161,158,117,7947,126191,401475
RUNS,110,1.8518518518518516%,108,110,112,105,231,7882,85735,108191
BRMSZPCG6A,108,9.090909090909092%,99,101,108,101,11,7820,80960,21600
ITMG,22350,-0.4454342984409799%,22450,22450,22550,22350,1884,7801,17496940,25253824
BINO,131,-0.7575757575757576%,132,132,132,130,131,7692,101074,298066
DYAN,89,0%,89,90,90,87,109,7654,67891,380294
BRMSYUCV5A,50,11.11111111111111%,45,56,56,48,11,7630,38839,12500
PTROZPCK6A,74,1.36986301369863%,73,73,75,73,12,7434,55055,51800
JTPE,326,0%,326,326,328,322,54,7363,239396,2233768
BNLI,3730,8.115942028985506%,3450,3450,3800,3450,510,7251,2602383,133606906
MFIN,1000,1.5228426395939088%,985,985,1150,970,635,7209,720601,5000000
IDPR,258,2.380952380952381%,252,258,262,254,135,7191,185592,516774
SPTO,675,0%,675,680,680,670,145,7115,479006,1822500
PJAA,486,0%,486,486,490,480,136,7030,339073,777600
GOLF,214,-0.9259259259259258%,216,216,216,212,132,7007,149798,4170167
NELY,350,-1.1299435028248588%,354,354,354,344,173,6972,244239,822500
LPLI,322,0%,322,324,324,318,95,6930,222914,376879
UDNG,3060,-9.734513274336283%,3390,3060,3060,3060,178,6797,2079882,5355123
BIMA,87,2.3529411764705883%,85,87,87,87,53,6591,57342,52911
ICON,49,2.083333333333333%,48,49,49,49,74,6458,31644,53398
XCID,70,-2.7777777777777777%,72,72,73,69,108,6348,44554,280000
ABMM,2930,1.0344827586206897%,2900,2900,2930,2900,325,6346,1850050,8066773
MSTI,1535,0.32679738562091504%,1530,1530,1550,1525,352,6283,965024,4819004
SMDM,870,6.097560975609756%,820,820,900,815,399,6236,531581,4151760
PNIN,825,-1.1976047904191618%,835,840,845,825,222,6155,511073,3356367
AMAR,214,0.9433962264150944%,212,212,216,212,146,6117,130276,3894219
GDST,108,-0.9174311926605505%,109,109,109,107,79,6107,65943,998190
INCODRCX5A,110,-12%,125,120,120,109,24,6032,68291,33000
IBFN,39,8.333333333333332%,36,39,39,39,35,5919,23084,59176
IKPM,212,0%,212,212,218,208,101,5900,125365,357148
STAR,88,10%,80,88,88,88,58,5888,51814,422400
IFSH,1000,9.89010989010989%,910,920,1130,880,639,5783,605833,2125000
MBMAZPCK6A,24,-4%,25,26,26,24,9,5707,13747,16800
MGLV,1370,-9.868421052631579%,1520,1480,1480,1370,80,5668,777858,2609690
BBHI,1510,0.6666666666666667%,1500,1500,1515,1485,251,5664,850934,32484560
BKDP,45,9.75609756097561%,41,45,45,45,27,5596,25182,338130
RODA,49,-2%,50,46,50,46,68,5543,26735,666014
ACESBQCZ5A,18,0%,18,19,19,17,7,5462,9795,2520
ANTMZPCK6A,47,11.904761904761903%,42,46,47,45,8,5437,25009,32900
SUNI,845,0%,845,845,850,815,210,5405,452725,2112500
KMTR,300,-1.9607843137254901%,306,306,308,298,205,5338,161044,2464610
OILS,136,-0.7299270072992701%,137,138,140,136,113,5313,72822,61752
ENAK,700,0%,700,700,700,685,105,5287,366408,1516667
MREI,970,0%,970,970,985,945,99,5254,501609,502258
BNII,212,0.9523809523809524%,210,214,214,210,146,5243,110663,15975776
VICI,630,0.8%,625,625,630,620,136,5234,326634,4226040
CMRY,4840,0%,4840,4880,4880,4780,1184,5189,2491065,38403866
PSAT,1400,-0.7092198581560284%,1410,1410,1415,1390,529,5175,724651,2075294
SMMT,1200,-0.8264462809917356%,1210,1210,1215,1200,94,5174,625159,4110000
BAYU,1285,0.390625%,1280,1280,1290,1280,86,5095,655275,453889
SCMADRCK6A,89,-2.197802197802198%,91,91,92,89,4,5021,45690,17800
CAKK,148,3.4965034965034967%,143,142,153,140,121,5009,73115,178088
ZYRX,149,0.6756756756756757%,148,147,152,147,267,4953,73587,198667
LPCK,640,-0.7751937984496124%,645,645,655,620,126,4914,311499,3286199
PYFA-W,98,0%,98,97,99,97,44,4857,47390,17479
SAMF,326,0%,326,326,328,320,165,4827,156421,3341500
KEJU,610,0%,610,610,610,600,146,4819,291859,3431250
GTRA,141,-0.7042253521126761%,142,142,143,140,90,4803,68259,267107
BRMSDRPX5A,12,-7.6923076923076925%,13,12,12,12,1,4800,5760,2400
INOV,97,-1.0204081632653061%,98,98,100,96,198,4765,46775,175398
DEPO,214,-1.834862385321101%,218,218,222,208,141,4717,100606,1453060
ASGR,1255,0.8032128514056224%,1245,1250,1260,1235,359,4716,589954,1692720
BBSS,300,7.913669064748201%,278,294,314,278,138,4681,138767,1440005
RISE,1115,0%,1115,1115,1115,1115,103,4680,521820,12203675
BOLA,197,1.5463917525773196%,194,194,199,192,123,4552,89634,1182000
BISI,890,1.1363636363636365%,880,885,895,865,180,4505,396347,2670000
SSTM,304,-3.1847133757961785%,314,330,330,296,198,4458,137861,355956
DAAZ,2950,-0.33783783783783783%,2960,2960,2960,2920,371,4432,1303338,5891150
JRPT,800,0%,800,800,800,795,47,4271,340720,10328575
DPNS,328,0%,328,332,332,302,160,4182,131360,108611
HRUMHDCK6A,64,-1.5384615384615385%,65,69,72,64,8,4167,27636,12800
SAFE,188,2.1739130434782608%,184,185,196,185,183,4135,78094,115647
ELSADRCJ6A,36,0%,36,36,36,36,2,4112,14803,14400
KLIN,181,-0.5494505494505495%,182,183,190,180,85,4031,74225,236663
POLA,42,7.6923076923076925%,39,42,42,42,45,4009,16838,140745
ANJT,1790,-0.2785515320334262%,1795,1795,1800,1790,189,3914,702435,6003973
CMNP,1340,1.1320754716981132%,1325,1335,1340,1315,194,3865,513704,8093064
PEVE,436,-0.9090909090909091%,440,442,448,426,65,3830,166203,769813
LABS,144,0.6993006993006993%,143,143,144,142,346,3783,53971,568800
INDR,2850,1.7857142857142856%,2800,2810,2980,2610,773,3763,1048598,1864902
CTTH,42,2.4390243902439024%,41,42,42,42,40,3753,15763,51695
LUCY,92,-1.0752688172043012%,93,93,93,89,77,3739,33798,139359
GWSA,155,-1.2738853503184715%,157,160,160,153,48,3711,57852,1209118
MPIX-W,14,0%,14,14,14,13,27,3598,4899,2187
SDRA,294,0%,294,294,294,292,81,3573,104881,4276309
KOBX,145,0%,145,145,146,143,97,3570,51562,329513
BRMSBQCZ5A,85,8.974358974358974%,78,82,87,82,22,3550,30722,7650
IPOL,135,-4.929577464788732%,142,142,144,135,96,3544,49144,869856
RIGS,825,1.8518518518518516%,810,810,825,810,79,3444,281166,502532
ESSABQCZ5A,53,-7.017543859649122%,57,51,55,51,28,3431,18048,4240
ADMG,152,1.3333333333333335%,150,150,152,149,123,3426,51660,591155
MDKADRCK6A,84,1.2048192771084338%,83,84,85,81,8,3310,28053,12600
EKAD,189,0.5319148936170213%,188,188,190,185,140,3187,59576,660342
CRSN,108,-0.9174311926605505%,109,110,110,107,89,3186,34398,312336
BELI,368,-0.5405405405405406%,370,370,370,366,44,3176,117028,49261934
INAI,153,-3.1645569620253164%,158,158,159,149,74,3135,48560,96941
DGNS,144,0%,144,146,147,142,130,3032,43634,180000
LSIPHDCJ6A,50,-3.8461538461538463%,52,50,50,50,1,3000,15000,8000
ANTMDRCG6A,71,9.230769230769232%,65,69,72,68,10,2987,20876,21300
WINE,216,-1.8181818181818181%,220,220,222,216,114,2983,65084,585360
SAPX,310,0%,310,326,326,304,185,2922,91291,258333
CINT,161,2.547770700636943%,157,160,164,158,84,2778,44527,161000
PWONZPCH6A,36,9.090909090909092%,33,36,36,36,1,2778,10001,7200
APII,182,2.824858757062147%,177,182,182,179,58,2735,49632,195788
SKRN,410,-1.4423076923076923%,416,416,420,410,192,2715,112596,3075000
PBID,490,-0.40650406504065045%,492,492,492,486,126,2692,131313,3675000
SDPC,133,0%,133,136,136,131,39,2676,35823,169442
INDYZPCG6A,117,2.631578947368421%,114,106,126,105,45,2660,31893,23400
PSSI,348,0.5780346820809248%,346,348,352,346,89,2633,91651,1885138
NIRO,126,0%,126,126,130,120,57,2604,32196,2797058
GOOD,372,0.5405405405405406%,370,370,372,366,83,2570,95039,13726019
KING,199,0%,199,200,200,197,79,2545,50274,517576
BFINDRCK6A,28,3.7037037037037033%,27,28,28,28,2,2502,7006,7000
ASJT,117,1.7391304347826086%,115,120,122,113,72,2497,29341,163800
PTSP,935,1.0810810810810811%,925,925,940,905,80,2476,228119,206455
BSSR,3950,0.5089058524173028%,3930,3930,3950,3930,327,2471,973729,10335175
SOSS,915,-9.852216748768473%,1015,915,915,915,140,2469,225914,731464
BUAH,1355,-3.558718861209965%,1405,1405,1415,1345,338,2361,326286,1355000
ATIC,454,0%,454,454,468,442,109,2320,104911,1051174
FOLK,81,0%,81,81,81,79,54,2302,18591,319799
IFII,234,-1.680672268907563%,238,238,238,234,50,2265,53584,2202408
GOLD,272,0%,272,276,280,258,92,2248,61006,347419
BBNIBQCG6A,68,-8.108108108108109%,74,69,69,68,3,2202,15194,6800
ADROBQCG6A,59,3.508771929824561%,57,59,59,59,3,2201,12986,5900
TLKMBQCG6A,70,7.6923076923076925%,65,70,70,70,2,2200,15400,7700
BBRIBQCJ6A,75,-1.3157894736842104%,76,75,75,75,2,2200,16500,7500
ISATBQCJ6A,47,-2.083333333333333%,48,47,47,47,2,2200,10340,5170
BMRIBQCJ6A,66,-1.4925373134328357%,67,66,66,66,2,2200,14520,6600
BBCABQCG6A,74,0%,74,74,74,74,2,2200,16280,7400
INCOBQCF6A,85,7.59493670886076%,79,87,87,85,2,2200,18920,9350
KLBFBQCJ6A,47,-2.083333333333333%,48,47,47,47,2,2200,10340,5640
BRPTBQCX5B,69,-2.8169014084507045%,71,66,69,66,8,2180,14610,5520
KMDS,630,0%,630,620,645,620,51,2159,135595,504000
MLPT,109200,20%,91000,91000,109200,91000,974,2139,22152618,204750000
KOPI,334,1.2121212121212122%,330,332,342,332,116,2121,71447,232887
ECII,188,-0.5291005291005291%,189,187,191,186,56,2055,38681,250855
ANTMHDCU5A,143,6.7164179104477615%,134,155,155,137,11,2036,29127,17160
SPMA,284,-1.3888888888888888%,288,272,288,272,94,2016,56106,895762
PMJS,118,-0.8403361344537815%,119,119,119,117,44,2008,23719,1623161
XKMS,1146,-0.34782608695652173%,1150,1139,1146,1135,40,2001,227329,181870
CPINDRCG6A,77,5.47945205479452%,73,75,77,75,2,2001,15008,7700
BRPTDRCJ6A,99,-1%,100,102,102,95,4,2000,19101,29700
XMIG,218,-0.45662100456621%,219,218,218,218,1,2000,43600,4447
BMRIBQCZ5A,21,-8.695652173913043%,23,20,21,20,4,2000,4100,840
ZONE,760,0%,760,760,760,755,29,1930,146147,661330
XCLQ,85,-2.2988505747126435%,87,84,89,84,12,1904,16576,10676
XSSI,81,0%,81,82,82,78,44,1895,15191,12004
JMAS,150,-1.3157894736842104%,152,152,153,150,62,1857,27966,150000
MDKAHDCU5A,172,-3.3707865168539324%,178,179,179,158,7,1852,32035,22704
INTD,200,-1.9607843137254901%,204,204,206,200,66,1845,37166,118366
BOBA,177,0.5681818181818182%,176,180,181,176,96,1797,31877,204568
MBMADRCX5A,37,-5.128205128205128%,39,39,39,37,6,1760,6617,14800
BBLD,890,-1.6574585635359116%,905,910,930,865,39,1698,157215,1464758
TBIG,1835,0%,1835,1845,1870,1830,196,1676,308704,41575594
GUNA,238,0%,238,238,240,234,71,1669,39585,595000
PKPK,565,0%,565,565,570,555,41,1666,93821,678000
TYRE,128,0%,128,126,130,126,167,1651,21035,445514
OMED,188,0%,188,188,190,187,56,1619,30491,5087064
FORU,1150,-0.8620689655172413%,1160,1160,1165,1150,92,1608,185994,535008
ROCK,795,9.655172413793103%,725,795,795,795,34,1606,127677,1140972
INKPZPCK6A,36,-2.7027027027027026%,37,35,36,35,2,1581,5534,25200
LMPI,141,-1.3986013986013985%,143,143,147,141,68,1565,22232,142201
SONA,4800,1.2658227848101267%,4740,4740,5000,4670,438,1554,754380,3179520
BMAS,780,0.6451612903225806%,775,775,850,775,125,1551,124684,13978876
TCID,3000,-2.912621359223301%,3090,3090,3100,2850,293,1437,421076,1206400
CITA,4090,0%,4090,4100,4120,4080,101,1405,575227,16197878
MTLA,440,0.45662100456621%,438,438,440,436,27,1405,61763,3368256
TRIS,186,0.5405405405405406%,185,185,190,185,40,1303,24189,584309
TKIMZPCG6A,101,-1.9417475728155338%,103,102,102,101,3,1301,13140,20200
PNLFDRCJ6A,14,0%,14,14,14,13,4,1278,1771,7000
MTMH,1180,-0.42194092827004215%,1185,1175,1190,1155,74,1268,149707,2440862
BSDEDRCJ6A,53,-1.8518518518518516%,54,52,53,52,4,1250,6558,26500
MGNA-W,38,-2.564102564102564%,39,38,38,38,10,1235,4693,13067
CBUT,1585,-0.6269592476489028%,1595,1600,1625,1585,89,1227,196171,4953125
CLPI,1260,0.398406374501992%,1255,1260,1295,1250,75,1211,153764,385987
NATO,141,0%,141,144,144,140,71,1206,16944,1128157
MCOL,3610,-0.2762430939226519%,3620,3620,3650,3550,149,1204,430724,12835572
CLAY,1600,1.2658227848101267%,1580,1585,1600,1585,56,1200,190587,4112000
SMAR,5450,-1.8018018018018018%,5550,5600,5625,5400,196,1189,654930,15653454
TRGU,173,0.5813953488372093%,172,172,173,172,63,1185,20496,1374556
LPIN,422,0.4761904761904762%,420,420,422,418,88,1184,49605,179350
BBRIDRCX5A,157,-3.0864197530864197%,162,155,158,155,4,1172,18420,15700
MBAP,1605,0.6269592476489028%,1595,1595,1620,1590,108,1159,185361,1969771
CPINZPCJ6A,46,15%,40,44,46,44,2,1142,5027,9200
EMTKDRCK6A,53,-17.1875%,64,55,55,53,4,1141,6259,21200
INKPDRCF6A,171,-5%,180,174,175,171,3,1118,19463,17100
BPII,550,0%,550,540,555,540,52,1058,57843,5670485
BBCADRCF6A,37,-9.75609756097561%,41,40,40,37,6,1035,3990,3700
PTBADRCG6A,23,-4.166666666666666%,24,23,23,22,4,1034,2370,4600
TIRA,1535,-2.229299363057325%,1570,1570,1600,1495,190,1032,158816,902580
PEHA,332,0.6060606060606061%,330,336,336,326,48,1016,33753,278880
BSIM,915,0.5494505494505495%,910,910,920,880,64,1003,91495,17858898
MBMADRPX5A,15,7.142857142857142%,14,15,15,15,2,1002,1503,3000
GLVA,334,1.8292682926829267%,328,326,344,324,83,999,33086,501000
PGUN,5100,9.67741935483871%,4650,4870,5100,4870,128,968,482939,29263029
GEMS,9000,-0.5524861878453038%,9050,9050,9100,9000,295,968,873940,52941177
LPGI,446,1.82648401826484%,438,448,448,440,16,941,42134,1338000
MKAP,350,1.1560693641618496%,346,346,350,346,47,929,32228,1137500
INDYHDCJ6A,226,3.669724770642202%,218,232,238,226,7,923,21638,33900
INPP,770,0%,770,770,770,745,72,922,69608,8610118
MAPADRCJ6A,13,-7.142857142857142%,14,14,14,13,3,920,1236,6500
HELI,248,0%,248,246,248,242,47,914,22494,206550
BBNIBQCV5A,37,-28.846153846153843%,52,43,43,36,21,910,3521,1110
JECC,1095,-0.904977375565611%,1105,1130,1130,1095,75,894,98298,827820
SHIP,4000,0%,4000,4020,4020,3870,148,883,348326,10879160
BUKK,875,1.1560693641618496%,865,865,885,865,51,873,76200,2310396
LFLO,318,9.655172413793103%,290,308,318,302,57,873,27652,415860
CHIP,1450,1.0452961672473868%,1435,1435,1450,1425,227,866,124220,1168700
PANS,1390,0%,1390,1390,1395,1380,82,832,115510,1000800
HDFA,123,-1.6%,125,127,128,123,31,829,10404,804721
CSAP,300,0%,300,300,304,300,50,828,24985,1704953
DLTA,2000,1.0101010101010102%,1980,1990,2000,1985,100,822,164139,1601318
LRNA,183,2.8089887640449436%,178,178,185,173,67,794,14370,64050
FMII,366,1.6666666666666667%,360,308,368,308,72,761,26718,2342400
MYOH,1710,-0.5813953488372093%,1720,1730,1730,1690,76,760,129297,3772794
DVLA,1615,0.6230529595015576%,1605,1605,1615,1590,22,738,118806,1808800
SFAN,1915,-0.26041666666666663%,1920,1920,1920,1915,41,738,141354,2604274
ASBI,452,-2.586206896551724%,464,464,480,450,91,723,32871,157471
TALF,376,-1.0526315789473684%,380,380,388,368,60,715,26767,508892
IPAC,146,-2.013422818791946%,149,150,155,136,139,713,10414,138681
MLBI,5850,-0.425531914893617%,5875,5875,5900,5850,78,698,409338,12325950
TRIM,372,0%,372,374,374,368,59,690,25660,2644660
MTWI,364,-0.546448087431694%,366,362,364,360,20,687,24865,1064513
GLOB,62,8.771929824561402%,57,62,62,62,12,668,4142,68889
SMKL,168,0%,168,170,170,165,52,664,11094,574238
BNBA,755,-0.6578947368421052%,760,770,770,750,40,660,49929,2532361
PGEOHDCH6B,56,-6.666666666666667%,60,59,59,55,7,635,3587,10080
MEDCBQCZ5A,34,25.925925925925924%,27,29,34,29,12,618,1910,3740
NFCX,1750,-3.581267217630854%,1815,1815,1820,1700,170,595,104308,1166668
AMOR,470,-0.423728813559322%,472,472,472,468,52,594,27909,1044445
CMPP,90,0%,90,90,90,90,29,582,5238,961661
EMTKHDCZ5A,230,-12.213740458015266%,262,252,252,230,4,578,13770,73600
CEKA,2670,0.37593984962406013%,2660,2660,2730,2660,37,575,156380,1588650
PUDP,228,1.7857142857142856%,224,240,240,226,58,537,12498,150279
XCIS,95,0%,95,103,103,91,27,533,5063,99750
IKBI,510,0%,510,510,510,505,51,530,26900,624240
ARGO,1250,-1.574803149606299%,1270,1260,1290,1250,54,505,63537,3967924
BNGAZPCH6A,49,-2%,50,49,49,49,4,500,2450,9800
BBCADRCX6A,3750,-0.5305039787798408%,3770,3750,3750,3750,1,500,187500,22500
MYORZPCH6A,32,0%,32,32,32,32,1,500,1600,6400
AMMNDRCJ6A,66,-2.941176470588235%,68,68,68,66,4,481,3181,13200
MPRO,4620,0%,4620,4630,4710,4600,95,470,218953,45934350
TBMS,1010,0%,1010,1050,1050,1005,84,465,46947,742027
ADES,13125,-2.0522388059701493%,13400,13700,13700,13000,105,464,609498,7742396
XSBC,101,-0.9803921568627451%,102,102,102,101,18,456,4635,12686
JPFADRCJ6A,64,6.666666666666667%,60,58,67,58,10,456,2777,19200
PORT,975,-1.5151515151515151%,990,990,1000,960,62,452,44343,2743593
