Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
ANTMBQCJ6A,58,18.37%,49,51,58,51,11,63260,358407,4640
INTPHDCM6A,60,17.65%,51,60,60,60,1,535,3210,9000
PEVE,505,1.81%,496,494,510,494,81,5404,269567,891641
ACES,430,1.90%,422,422,432,422,3397,389262,16656745,7361768
UNVRBQCZ5A,230,3.60%,222,240,248,222,6,332,7849,6900
CARE,326,2.52%,318,320,330,316,1072,287602,9243017,10839500
MKTR,154,5.48%,146,149,158,147,698,41809,634602,1857306
CFIN,336,2.44%,328,334,344,330,1150,90371,3050624,1338799
CBPE,286,2.88%,278,284,286,272,382,17469,486423,387888
WINS,456,1.79%,448,458,464,454,2005,103438,4744323,2034211
HATM,344,2.38%,336,338,348,328,3548,170497,5756541,2985920
ERAL,288,2.86%,280,280,290,276,529,61999,1747554,1494000
BVIC,116,7.41%,108,110,117,109,4355,581500,6622218,2114804
MITI,310,2.65%,302,300,324,296,1899,140087,4402557,1162663
SOUL,88,10%,80,80,88,78,475,52948,458705,95262
BMRIDRCG6A,106,8.16%,98,102,108,102,38,825,8649,10600
PSKT,157,5.37%,149,160,160,157,412,145293,2312697,1625143
XKID,1012,0.70%,1005,1012,1012,1012,1,1,101,11942
MANG-W,28,33.33%,21,21,30,21,3141,511234,1288361,6405
BMRIHDCQ7A,94,8.05%,87,93,95,92,12,540,5022,9400
XMLF,934,0.76%,927,934,934,934,1,400,37360,11675
BVIC-W,27,35%,20,21,27,20,132,8307,19691,181
TLKMYUCK6A,139,5.30%,132,138,139,138,3,230,3174,27800
ASRI,169,4.32%,162,163,169,163,1445,266625,4454965,3320751
ELSAHDCK6A,48,17.07%,41,44,48,44,7,3227,15289,12000
SCMAHDCZ5A,366,1.67%,360,348,366,348,4,4,144,54900
RMKO,214,2.88%,208,210,228,200,1102,78352,1705871,267500
NELY,356,1.71%,350,350,368,348,593,16492,589807,836600
UNIQ,398,1.53%,392,394,408,390,1060,342664,13660263,1249315
XBIN,621,0.98%,615,621,621,621,1,400,24840,966897
PTMP,94,6.82%,88,90,94,89,2470,291649,2690451,297905
CASH,113,5.61%,107,106,116,104,447,23277,254175,161717
DMMX,366,1.67%,360,360,366,350,315,15305,545961,2815385
SMDR,312,1.96%,306,306,312,306,1583,142537,4408290,5109187
CSAP,338,1.81%,332,340,340,332,65,1608,54160,1920913
SMIL,486,1.25%,480,478,486,470,4065,1537824,73453972,4253311
CSIS,418,1.46%,412,390,422,370,14792,887030,35775806,546326
COCO,424,1.44%,418,418,470,412,28210,3948168,174831591,1509209
RSCH,384,1.59%,378,376,388,376,309,31737,1210960,1017600
UNVRZPCH6A,112,5.66%,106,106,112,106,3,3,32,22400
SAME,318,1.92%,312,314,334,308,341,14932,480214,5452788
SCMAHDCK6A,49,13.95%,43,48,51,48,18,813,3959,17640
XMGB,1139,0.53%,1133,1138,1139,1138,3,16,1822,124151
MAPIHDCK6A,88,7.32%,82,84,90,84,12,20098,172873,13200
PALM,388,1.57%,382,384,388,378,167,6357,243914,6104355
ASHA,68,9.68%,62,68,68,68,670,427329,2905837,340000
IRRA,446,1.36%,440,440,446,436,406,12010,530942,713600
ELSADRCJ6A,41,17.14%,35,40,43,39,11,4052,16629,16400
SKLT,214,2.88%,208,210,216,208,158,5445,115163,1478185
CMPP,97,6.59%,91,100,100,97,55,1633,16188,1036457
BNGAZPCH6A,48,11.63%,43,48,48,48,2,51,245,9600
TBLA,735,0.68%,730,735,740,730,379,22330,1638660,4428649
RICY,62,8.77%,57,57,62,57,19,976,5620,39786
