,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
HRUM,,931,8469,,0,0,,276,19456,2129,1094,,68,10987,1198,1091,,0,0,0,0,,0,0,0,0,
SMIL,,429,8298,,0,0,,83,34723,1864,537,,110,26425,1435,543,,0,0,0,0,,0,0,0,0,
SURI,,75,7956,,0,0,,1227,108347,1274,118,,1592,100391,1198,119,,0,0,0,0,,0,0,0,0,
NCKL,,882,7932,,0,0,,61,8332,927,1112,,4,400,44,1103,,0,0,0,0,,0,0,0,0,
DKHH-W,,12,7824,,0,0,,6,8670,13,15,,11,846,2,18,,0,0,0,0,,0,0,0,0,
SMGA,,79,7668,,0,0,,37,28423,304,107,,28,20755,225,108,,0,0,0,0,,0,0,0,0,
PSAB,,398,7557,,0,0,,195,39019,2089,535,,214,31462,1692,538,,0,0,0,0,,0,0,0,0,
LOPI,,53,7525,,0,0,,26,13101,90,69,,42,5576,37,67,,0,0,0,0,,0,0,0,0,
ELSA,,367,7500,,0,0,,135,23163,1136,490,,121,15663,769,491,,0,0,0,0,,0,0,0,0,
IDEA,,59,7424,,0,0,,26,7424,59,80,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ENRG,,410,6884,,0,0,,35,7589,452,596,,10,705,42,597,,0,0,0,0,,0,0,0,0,
ESTA,,48,6880,,0,0,,26,11487,84,73,,30,4607,36,78,,0,0,0,0,,0,0,0,0,
JARR,,1221,6673,,0,0,,164,12966,2373,1830,,54,6293,1152,1830,,0,0,0,0,,0,0,0,0,
MAYA,,154,6673,,0,0,,39,7133,164,231,,2,460,11,232,,0,0,0,0,,0,0,0,0,
CPRO,,36,6608,,0,0,,17,7063,39,55,,3,455,3,55,,0,0,0,0,,0,0,0,0,
WAPO,,111,6478,,0,0,,105,10453,181,173,,37,3975,70,176,,0,0,0,0,,0,0,0,0,
PPRI,,236,6425,,0,0,,90,17315,637,368,,132,10890,401,368,,0,0,0,0,,0,0,0,0,
SLIS,,5,6159,,0,0,,1007,460550,4601,100,,1057,454391,4596,101,,0,0,0,0,,0,0,0,0,
WEGE,,48,6071,,0,0,,263,44020,344,78,,111,37949,296,78,,0,0,0,0,,0,0,0,0,
WMUU,,12,6004,,0,0,,21,16503,33,20,,5,10499,21,20,,0,0,0,0,,0,0,0,0,
LAND,,22,5600,,0,0,,24,7000,28,39,,3,1400,5,39,,0,0,0,0,,0,0,0,0,
BUKA,,97,5293,,0,0,,40,35493,590,166,,28,30200,492,163,,0,0,0,0,,0,0,0,0,
